,safe
147624,Many street signs in front of a building while it is snowing.
155112,Two boats are on the shore of some green water.
62975,Skiers on snow covered slopes near chair lift.
71184,birthday cake with fruit and teddy bears on it
146707,A close up view of a giraffe in front of a palm tree.
136271,a painting on the wall of a man raising up an umbrella 
137803,Two old men sitting on a park bench together.
43246,A woman holding a Nintendo Wii game controller next to a man.
17713,The Big Ben clock tower towering over the city of London.
156673,A woman in nothing but heals on a bed.
17812,a man is talking in to a microphone on stage
42639,People are playing baseball as an audience watches.
133300,An older woman on a tennis court hitting a ball with her racket 
130600,A surfer on his board performing a trick.  
8324,A girl in a bathing suit is showering off in a bathroom area with an open stall.
123663,A picture of a clean and organized bathroom.
128066,A red motorcycle parked next to a woman sitting down.
129358,A woman is laying on a bed with two dogs.
26114,A man who is standing next to a bicycle.
47602,The people are walking through the doors at the store.
74358,A very large herd of elephants in a big grassy field.
152540,there are two yellow empty school buses 
76160,A cat is sleeping in a cat bed under an umbrella.
8967,A kitchen with a washing machine in it.
23189,A group of old-fashioned dressed people play a game.
118729,Sheep and roosters standing around in the grass together. 
56850,The cheese cake is on a plate next to a fork. 
31986,A person is riding a skateboard down the stairs.
68105,a dog tied to a motorcycle with a side car in a parking lot 
113843,Several athletes appear to be having a disagreement.
21394,a young woman riding a long board on the sidewalk.
107067,Two people on an ocean beach with one holding a frisbee.
18020,A clock tower is lit in the night sky.
46314,a young female walking at night smoking and talking on her mobile phone
14535,A man sits in a dimly lit room using a laptop computer.
103673,A man swinging a bat while playing baseball.
51943,A large cake sitting on a yellow plate covered in raspberries.
18853,A deep dish pizza on restaurant plates topped with olives. 
75235,train station with a luggage cart and people waiting
32062,A man on a surf board riding a small wave in the ocean.
139895,Little boy in a tie holding a large stick.
53356,A large brown bear walking across a river.
79731,A person does a skateboard trick in the air
41087,A man in yellow shirt and grey shorts playing tennis.
106619,Fruits and vegetables packed in a card broad box.
140181,The man is standing in the messy room.
149116,yellow train coming down the tracks away from a blue sky
17087,A person is holding up their cell phone to take a picture.
128787,A man is surfing on a moderately big wave in the ocean
95383,A long large train on a steel track.
28050,A look into a very narrow rest room with a tub.
42506,The yellow refrigerator and stove both have eyes painted on them.
76556,A picture of sail boats floating in a harbor.
51668,A PERSON PERFORMING A SKATING STUNT WITH MULTIPLE FRAMES COMBINED.
157708,A computer mouse is hanging out of a book bag.
10920,A bundle of wadded up toilet paper is next to a toilet.
116016,A luxurious spa area with a tub and seating area.
43555,A the bottom part of a blender on a counter next to papers. 
44648,A big bunch of images of some people and a wheel in the grass.
154609,horses laying down on the grass beside trees and a barn
147937,A couple of planes is standing in front of the airport station window.
42977,a male in a white shirt a mirror and a camera
155761,A man sitting on the sidewalk under an umbrella 
48067,The delivery truck has colorful bottles on the side of it. 
12398,A man scooping food from a pan near a cluttered  wooden table.
90068,An airplane is sitting out in the water.
101550,Two sheep stand in the snow and eat grass. 
103359,"The skiers are in close competititon, moving downhill"
109343,Some women standing next to a table with many oranges.
70314,two men on a scooter riding down the roadway
73344,Sidewalk and nose in street metered parking spots.
67787,A couple of planes getting ready to take off on a runway.
81496,A team of soccer players playing a game on a field.
94452,A bench sitting in the grass in front of trees.
146665,A brown horse next to a white horse on a field.  
147113,Two decorative barrel planters sit next to a picnic table.
34168,A bedroom area with a metal framed bed and picture on wall.
38008,There are no doors in that entry way.
68288,a black and white picture of a woman in the kitchen with her dog 
54322,"A wake boarder riding on a wave, in the middle of a lake."
151328,a few people that are sitting on some benches
121479,A large white tropical bird perched on a palm tree
122236,four urinals in a public restroom with a window
140198,A group of people walking through an airport.
21109,a couple of men eat some food over a table 
109649,"A group of people eating at a table.
"
158351,an elephant is walking on some grass and some trees
1481,A woman sitting in a chair and talking on a cell phone.
143886,A group of young people playing a game of frisbee.
138369,Large group of people with umbrellas at outdoor event.
97984,A miniature kitchen with a large electronic device.
157197,A man is outdoors throwing a Frisbee in a park. 
2346,A store display of various donut styles for sale.
81745,a man that is on a surfboard on some water
45786,A boy holding a tennis racquet on a tennis court 
151014,A very big pretty bird flying over a field.
137368,a girl in a bikini and a brown and white dog and a few other people
73241,A cat on a seat of some sort during the day.
89497,A view of a bathroom sink with three lights above it.
39116,Young girl helping young boy with hair care.
21805,a dirty kitchen with some appliances inside of it 
78051,A pizza with lots of toppings sits ready to be eaten.
120044,The sheep is looking over the crest of the hill.
15934,I long and skinny piece of home made pizza.
94280,Road signs and orange barrels lit up at night.
82837,a person waling through a field of strawberries carrying a tennis rackett
14260,A laptop with a variety of stickers on its front case.
131305,A white plate with a piece of cheese cake on top of it.
25806,a person in a collared shirt standing next to a bicycle 
134728,A cat laying on top of a cat bed near a plastic bag.
53919,The banana is next to a blue device with a clear wire.
88948,a white stove and microwave and some brown cabinets
142259,A man on a pair of skies near a building.
93655,A group of people standing around a green train car.
137932,"A silver, red, and yellow train approaching on the tracks. "
100982,A work crew standing near a steam engine.
150873,A stop sign under some other street signs.
84528,"A large kitchen features a wood floor, white appliances and brown cabinets."
99633,A brown and white dog and person standing on a wooden floor.
88425,"A small bathroom with a sink, toilet and a bathtub."
46236,"A computer monitor and keyboard, and a laptop on a desk "
46730,A rusted volunteer fire department truck out in a field.
83931,Corner green glass basin in a wallpapered bathroom.
71638,a cow stares as it stands in a muddy area 
89871,"A sink,mirror, and broom in a bathroom. "
35730,A girl sitting in front on a slice of pizza
129296,"A hand holding aluminum foil half wrapped pork sausage dog in a hot dog bun with shredded vegetables, over sidewalk area with grate."
96979,A black and white photograph of people at a bus stop.
34697,A group of people that are fine kites.
15440,This clock tower is located among some shrubs in a park
35961,"Laptops, keyboards, and other computer equipment on display."
106530,a close up of a plate of food with broccoli
91660,A sign that is by the grass in a streets.
102516,Lone giraffe standing in grass facing the camera.
153888,"People in an isle of black and white suitcases except for a few blue ones, "
132574,Man at a tennis match holding a tennis bracket.
90581,A young lady is posing for the camera. 
25401,Two people are in a food truck cooking with the doors open. 
5498,There is a plate of food and a pizza on a table.
27353,A bathroom with a shower curtain that has a tree on it
53723,Pair of zebras walking past rocks in zoo enclosure.
67095,Girl standing on street with large pink flower tie on
53846,Riders on horseback on roadway in urban area with onlooker nearby.
20175,small pots of plants are being transplanted 
65164,Two toilets in a bathroom next to two sinks.
104831,A man flying through the air while riding a skateboard.
120967,Street signs are on a pole in a big city.
122324,A sign for an Italian restaurant hangs outside a building.
96107,There several benches that are located near these railings on a beach.
80049,a white bed with orange and white pillows and some pictures
115103,A pretty woman holding a camera walking amongst a crowd.
41646,A baseball player swinging a baseball bat at home plate.
49676,Three elephants socialize with each other in the wild.
60017,A large group of people most of which are riding bikes.
142692,A dog jumping in the air with a frisbee.
3473,A hotdog on a bun with a few chips
21105,a group of people work inside of a kitchen
63953,The steering wheel of a bike with many gadgets parked in a mud room.
16204,He is showing her how to hold the Nintendo Wii wand for best game results.
46126,A large tall pole with a clock on top.
24865,A white sink with a metal faucet above it.
59832,The bike is parked next to the empty bench. 
47343,The orange and grey cat is lying down on a black backpack. 
10572,A boy constructing a gingerbread house in a kitchen.
87413,A group of tooth brushes sitting inside of cups.
45648,A living room filled with furniture under a painting.
85029,Two new looking parking meters are on the sidewalk.
12601,a bath room with a toilet a sink and a mirror
122276,Two older people sitting down in front of a beach.
69120,"A public bathroom with large vanity, mirror and stalls"
62115,A microwave oven above a stove top oven.
75184,A long haired cat staring in to a camera. 
129686,Four paper containers filled with different kinds of food.
69759,A group of giraffes in an outdoor enclosure.
107546,Two people coming off the mountain from their skiing adventure.
78618,a sandwich on a white plate a drink on a brown table
127783,an image of a clean half bathroom with wood floors
136506,A large group of people with umbrellas on a street.
20479,A man rides a bike through the street in front of a motorcyclist.
139421,Two young elephants are playing with each other.
157192,Man in carrier on top of Indian elephant.
142005,Snow boarders getting ready to travel up the snowy mountain.
79512,a man is on a court playing tennis 
72244,A power company worker works while another worker directs traffic.  
133740,A kitchen with marble counter tops and black appliances
144570,Two people riding on the back of brown horses.
156917,A ship on the water on a foggy day
109923,Side view of sandwiches with lettuce on white bread.
53746,Plate of food sitting on a counter top.
49897,A gray horse stands next to a barbed-wire fence.
103151,A tall giraffe rests amidst green grass and trees.
35955,A pretty little girl flying a kite on a lush green field.
100458,A large plane is parked outside an airplane hangar.
113383,Two woman enjoy a toast with glasses of champagne.
149619,Three birds standing on some damp ground outside.
130801,a woman sitting at a table in front of a pizza
86519,The bicyclist is feeding the birds on the street.
114992,A motorcycle driving down the street past a store.
34012,a tall white cake with red flowers on top and some small orange pots
135519,A large elephant walking through a lush green field.
9922,"A kitchen contains several appliances, including one on top of a fold-out table."
155560,A crowd of people walking across a rain soaked street.
14279,A young girl having breakfast in bed on a tray.
64386,A big screen television is sitting on a stand in a room.
123168,A man riding a red motorcycle in front of a red garage.
158561,Travel items are laid out neatly next to a purse.
61150,A couple of white and green airplanes on a road.
45971,a man poses in front of some pots and pans 
128875,A girl sits at a picnic table with a piece of pizza on a plate. 
153445,A well dressed man and woman standing next to a tree.
143102,a man jumping down part of a track while skiing down a hill 
53073,The plate has broccoli and slices of tomato and onion.
98919,Birds are standing in a basket on the table.
132303,A pizza that is half pepperoni and half chicken.
154795,A cat is laying curled up on a table surrounded by greenery.
16637,A person sitting in front of a desktop computer.
98860,A motorcycle is parked on a gravel lot
54067,A man standing in the snow with ski gear.
141938,a young lady on horseback stops to let her horse eat a while
119490,a small bird is standing on a tree outside
137489,An old train sits alone on the train tracks.
37560,A kitchen with black appliances and beautiful wood cabinets.
83879,A kitchen counter top with a tray of sliced tomatoes and a plate of whole tomatoes.
44635,A crockpot sitting on top of a microwave. 
35647,a man with a plate of pizza and drink in hand
138270,a man in a a tie posing at the photo
136184,"A cat sleeps on a couch by a book, a banana, and a shirt."
24512,"A bathroom area with a toilet, sink and a towel rack."
6824,A bathroom with a window and a bathtub next to a towel rack.
114823,An empty restroom with a white toilet and sink.
123129,An airplane taking off over a field next to a forest. 
12009,A kitchen type setting has a mirror that shows a bathroom.
63419,The bathroom is clean and ready for us to use. 
32777,a close up of a cake with candy near by
142424,A snowboarder is jumping in air with one hand raised and the other hand on the board. 
46010,Two men are making pizza on a table
115668,A black and white photo of a man in a suit
97878,Two people that are racing on some  fast motorcycles.
10626,A man is eating a lot of hot dogs and sitting at a table.
132756,A man that is  celebrating a tennis match outdoors
92134,A large building with two white towers with a crowd of people next to it..
71090,four elephants in captivity with trees near by
151534,The Sun Valley Market on the corner of 10th Ave and Irving.
150727,Two cats cleaning themselves near a park bench. 
128565,A pizza that is sitting on a wooden board.
95855,A bunch of vehicles in an Asian city.
115746,two people in a kitchen with a stove and a microwave
65378,Seven motorcycles are parked at a motorcycle repair shop.
16306,"A baseball bat, catcher's mitt, and baseball lying on a playing field."
148794,A row of buses sitting next to each other in front of a tall building.
142655,one zebra is standing in some brown grass 
150352,A large Delta airplane sits on the runway.
157663,A group of elephants standing in a grassy field.
88362,People are riding in a boat on a lake.
44234,A large stone building with a clock on it
132145,A person cutting a piece of paper with blue scissors.
88452,A man is walking a city street with an umbrella.
122010,A stop sign in a snowy bank in the woods.
109044,two young beginner snow skiers waiting to start learning
67859,A banana sitting in a bowl that is on the table.
34472,A soccer player is kicking the ball during a game.
34292,A black and white photo of a man in a trench coat standing on a tennis court.
113121,Stuffed toy bear sits with large spinning top in holiday themed display.
90786,A man with a broken umbrella walks down a rainy street.
62964,A woman wearing a Darth Vader masks setting on a toilet.
120755,A steam train carrying a lot of people is going down the tracks.
41197,a person standing on a tennis court holding his tennis racket pointing down
102224,Happy 1st Birthday cake for Lucas with blue and white frosting.
141485,A small boy is on cement on a skateboard.
18211,There is a horse head next to a bottle of Jameson.
66818,A very well dressed man making a funny face.
85165,A man in light colored clothing walks beside a bike as a red train is on the train tracks near him.
95565,A man holds onto the side of a train inside a museum.
89525,a kitchen with a tea kettle sitting on the back burner of the stove 
104008,A produce market filled with fresh fruits and vegetables.
17355,a stuffed bear is sitting in the window
8184,A woman sitting on a blue bike on a green hillside.
48426,Four cows standing in the grass near mountains.
105897,A brown horse standing in a lush green field.
25784,Open cabinet reveals kitchen amenities in small space.
79128,a close up of tooth brush and tooth paste
127823,Small toilet with a green and white painting hanging on the wall. 
25499,A young girl flying a white kite on top of a green field.
146316,A bunch of different vegetables that are in baskets.
27799,People are waiting in line at a food truck.
80244,Surfboarders are riding waves in the ocean together
66186,Bride and groom feed each other piece of cake 
129967,A bed that has a canopy over it.
65879,"A restroom with a sink, mirror and towel"
41376,A man kneeling on a hardwood floor and holding a green kite in his hands.
31167,A man para sailing on a sail board in a lake.
117567,Two men are sitting on a wooden crate with a cow next to them.
3426,An ad for Nike has the tennis uniform look like a super-hero suit. 
131446,A woman putting her dog on her surf board
39812,The mechanical alarm clock has bells on it.
4969,A group of boys playing soccer on a field.
33424,Young girl sitting and eating a piece of cheese pizza.
156280,Three people in an elevator reading papers while one appears to be on cel phone.
99785,There is a toilet next to a wall.
16712,A man rared back at a tennis ball with a racquet.
153607,A view of the coast from within a boat 
5501,A person riding a wave on a surfboard.
40507,A living room with lavishly decorated furniture and a stone fire place.
55438,A baseball player holding his hat with his glove tucked underneath his arm.
77020,An elderly lady holding a bin full of donuts next to two other women.
78288,Three people playing a video game in a living room. 
110003,a close up of a credit card cut into pieces
98781,A clean kitchen is shown with and without a center island.
92277,A red stop sign at the end of a street.
43,some people skateboarders ramps and trees and dirt
103888,A person reaching out to pet a horse with hills and fields in the background.
19387,A built-in microwave among some wooden cabinet doors.
149210,A long white train is speeding down the tracks in the distance.
47169,Row of moored boats of different sizes at marina.
116022,"A modern bathroom is fashioned with chrome faucets, round mirrors and dim lighting."
37773,"A kitchen with a dishwasher, refrigerator and pantry."
11226,A street with a banner above cars and a bus.
156030,A herd of animals next to a tree and shrubbery
80542,A young man holding a blue surfboard on top of a beach.
112779,a mason jar being used as a vase for the flowers
55231,A zebra standing at the edge of a pond.
11746,A man is riding his bicycle down a street.
14098,"Words on a back of a bike seat read ""hero""."
147474,A transit bus pulling through a shopping area.
85121,There is a table with chairs around it
75828,Two large suitcases sitting unattended at a bus station.
151966,A bunch of lambs standing around in a field.
86940,"A bathroom area with a sink, toilet and mirror."
23530,A man balding and wearing glasses taking a selfie.
134517,A person in a train station looks into the camera with a neutral expression.
98488,The trunk is filled with equipment to ski.
152347,A train arrives next to another train in a station.
135146,A cat is up in a blue windowsill playing with a package that is sitting there.
36326,The unfinished wood dresser is set up against the wall.
153858,Man herding some skinny cows in a street.
99771,A clean bathroom is seen in this image.
24458,"A counter area with a stove, plates and a rack for utensils."
66293,A white urinal sitting between a toilet and a sink.
146221,A woman on a horse jumping over a pole
90700,A binder is on top of a bed in a room with a wooden door. 
89293,A person lays on a bed with a computer in front of you.
736,Group pf people learning how to surf on the beach.
4416,A woman sitting at a table in front of a pizza.
107471,"Carrots, potatoes, green beans, and corn at a market."
91883,A man riding a skateboard while wearing an orange hat.
13487,a person walking alone with  blue and white umbrella 
22952,A woman brushing her teeth in front of a bathroom mirror.
145255,a man with an leg up while reaching for a frisbee 
137358,A couple of cows sanding on top of a grass field.
5098,A tennis player in front of other people on the side lines.
51936,A young man riding a skateboard down a flight of stairs.
52190,"Cake decorated with raspberries with a single, lit candle"
13146,"A bathtub, sink and window in a bathroom."
106492,A man holding three wine glasses in his hands.
47370,its raining so all the people are carrying umbrellas
34849,A softball player stands at the plate for the pitch.
21141,an old kitchen area with many sinks 
87099,"A kitchen with a stove, cabinets, a window and shelves. "
117069,A giraffe standing in the middle of a forest on grass.
44345,Two statues sit in the open window under a clock.
105516,A group of police riding horses in formation.
134287,"A young lady in dance attire, stands with a cell phone to her ear."
27952,A microwave and a coffee maker on a counter.
138926,A lone train is traveling down the train track
149525,"A group of seagulls foraging for food near the beach
"
140298,A man is watching a dog stand on a skateboard.
153442,A dog running in a field with people around.
55417,A plate that has three different kinds of food on it. 
128303,There is a chicken burger next to a bowl of soup on the table.
50286,Two skateboards with neon green wheels and no one riding.
111627,A woman that is sitting on a couch next to two laptops.
28922,two people standing up near each other playing nintendo wii
128676,a man on a surf board rides on a big wave 
135949,A couple of cats facing in opposite directions on a floor.
85518,A white bathroom with a tv and phone
11417,some bikes parked on a boat on water
155741,Two dogs swimming in the white water of the ocean.
124587,A person standing in front of a fountain holding an umbrella.
133370,Man plays tennis with tennis court fence and palm trees in the background.
34872,Two orange flowers sitting in a glass of water.
20130,a clock a building lights clouds and a blue sky
139088,This unique cake is made to look like a tree stump turned picnic table.
65689,a propeller plane sits parked in a parking lot 
37756,a cell phone in a holder attached to a desk
75626,A man wearing a suit walking down the street. 
27319,a person taking a photo in a mirror 
145917,A woman in a short skirt cutting a cake.
121784,A street sign mounted on a pole in front of large buildings.
124652,"A door to an eatery says ""time to eat"" and features a brick facade with blue trim."
41890,Two people working in a kitchen preparing a meal.
15761,A classroom with desks and laptops with headphones on them.
11421,a black and brown counter a sink a mirror and some towels
154679,THE VIEW OF A STREET FROM THE TOP OF THE BUILDING.
147246,Dude on horseback leads herd of sheep with two dogs
51375,a group of boys playing a sport on a green field.
153879,Two black cats looking at each other in a window.
100768,A street sign next to a streetlight and camera
26446,Two men on small tricycle in urban city.
26576,A kitchen with wooden cabinets and a stove top oven.
18989,A woman prepares to hit a tennis ball on a tennis court.
111316,A vase sitting on a table as a man looks out of a window.
24417,A plastic cat girl rides a plastic bike
89903,a close up of a sink in a bath room 
45667,A bunch of garbage is outside a black gate.
108715,two zebras standing together while putting their heads on each other 
18368,A man holding a turkey he has just taken from the oven.
129852,Players and a referee in a soccer match.
124841,A blurry photo of people riding motorcycles in the woods
110190,A woman is pouring a large amount a wine into glasses.
85751,"A bathroom with blue walls has a window, a sink, a bathub, and a toilet."
2176,"There is a girl eating a sandwich, she has blue eyes and her nose is pierced."
124687,"A small, neat and clean yellow bathroom set up."
147165,A bus is being primed for painting it.
43120,"Several electronics, including a laptop, are placed on the table. "
1364,A frumpled bed sits in between two blue covered nightstands.
131652,A large clock tower rises up above the surrounding buildings.
119153,A sign advertises registration at Harriet Tubman Elementary.
17299,Someone's hands on a computer keyboard looking at a screen.
88777,"A group of people walk under umbrellas in the rain.
"
113353,a bunch of food is laying on a plate
139174,"A cat jumps up on a desk with a computer, CDs and magazines."
17405,Two people at a table looking at a computer.
10012,A couple of people that are making some food.
105916,Several college students play a game of a ultimate frisbee
26360,A bathtub with silver hardware has a digital screen on one side of the wall.
96194,A bright blue ocean with a bridge of some sort.
128355,Girl tennis player getting ready to serve ball. 
103442,Baseball players are standing at their designated positions.
126400,a white stove some brown cabinets and some bowls of fruit
71801,"Two trains, side by side, waiting at the train station"
71988,A person taking a photo of a couple under an umbrella
105913,Tourists taking photos of a half-horse half-zebra playing
43519,A man is standing and smiling as he and a woman hold a device.
113868,A very clean kitchen with the light on.
28368,A bathroom with a toilet and a bath tub.
135875,a women that is standing outside next to a tree
106768,Three sets of skis standing in front of a snowboard.
58509,A dogs face and the dog is laying in the bed
142119,a polar bear stand on a piece of ice floating in some water 
102687,A seagull with a piece of bread fling in the air.
154183,A dog is holding a frisbee in its mouth
151683,Two fast trains travel along an old bridge.
97702,"A kitchen with an old style stove, shelving, a sink and window."
131623,The smiling girl is holding a tennis racquet.
99639,Folded towels are sitting on a rack above a toilet.
118587,Two birds perched on the branch of a tree.
134100,Two people standing next to each other while flying a kite.
156692,a woman is setting some goods outside a store
130120,a couple of candles are on a cake
144684,Two people that are in the air while snow skiing.
142946,Two men are standing on skis by a snowy mountain.
94248,a beautiful lady ready to open the vehicle
59121,A wooden bench with grass and a beach behind it.
104194,A skateboarder is in the air doing a trick.
19157,A baseball player connects with the ball during a game.
62734,A single propeller silver airplane in the sky.
39319,A couple of home computers on a desk.
78792,A person rides the waves on their surfboard.
90606,A glass shower and sink in a bathroom. 
12912,Sliced banana being cooked and stirred in a silver sauce pan.
33028,Soccer players during match play in city environment.
90933,A mostly cleared counter with a bunch of bottles in the corner.
100861,a large lot full of parked school busses 
117917,A woman sitting on a bench in a field in front of a pond.
77566,"Sitting on a table is a pizza that is sitting on a wooden pot holder along with a bottle of wine, pizza cutter, plates and glasses."
9678,Many people are scattered in one area on the road on their bikes. 
33780,The surfers are riding surfboards in the water. 
135864,A MOTHER ELEPHANT GRAZING WITH HER NEWBORN CALF.
121636,A man is holding a goat that he is inspecting.
152561,a big long school bus that is parked by a tree
15618,A shirtless ginger blow-dries his hair in the bathroom.  
51378,"A table is set with the fixings for bacon, lettuce and tomato sandwiches."
128002,Three buses pulled in front of a bus station loading passengers.
43116,"A display of a variety of female outfits, shoes, and handbags."
136316,A cat laying on top of a basket on a table with a mirror above it 
151529,there is a very tall zebra standing alone in the wild
105690,A black man on a skateboard at a skate park.
5708,A woman holding a plastic cup next to a crowd of people.
151265,A man with a tie on and a head band in celebration of a holiday.
96410,Trains on a row of train tracks and rows of poles
143168,A man is on a beach and is getting ready to throw a Frisbee. 
141761,A large display of fruits and vegetables are in a market.
93527,Street signs and a stop sign are all on one post in front of a tan building with white windows.
9917,A white refrigerator freezer combo sitting in a kitchen.
137989,People holding umbrellas are crossing a street at night.
119748,A traffic light at an intersecection without a lot of traffic.
9555,A bus on a lot next to a construction site and workers.
5687,A pizza with thick crust sitting on top of a pan.
131788,A hipster sits at a desk near a laptop while using his cell phone.
48015,A row of people in a larger audience watching something.
60271,A man works on a motorcycle inside a motorcycle repair garage
79881,Surfers are riding a wave near some very big rocks.
65248,People working on a motor bike while at a race.
109748,A vase filled with flowers and greens on a shelf.
155870,A cat lays on a floral couch next to two remote controls.
54980,A batter ready to hit the ball at a baseball game.
134344,A desktop computer sitting on top of a wooden desk.
45444,A eggy casserole is shown from the inside.
158662,A man in a suit and tie standing next to a woman with glasses.
153537,A cat yawning next to a blue bottle. 
